AARON & PARTNERS LLP,HO,Grosvenor CourtCH1 1HG,01244 405555,simoncarter@aaronandpartners.com, 01244 405566,: http://www.aaronandpartners.com,401104
AARON & PARTNERS LLP,BRN,Pall Mall CourtM2 4PD,0844 800 8346,operations@sra.org.uk, 0844 800 8347,: http://www.aaronandpartners.com,462690
ABBEY COURT SOLICITORS,HO,Unit 6BB7 9SP,01254  824 963,operations@sra.org.uk, 01254 822 206,,522664
ADAMS & REMERS,HO,Trinity HouseBN7 2NN,01273 480616,judy.sutton@adams-remers.co.uk, 01273 480618,: http://www.adams-remers.co.uk,45967
ADAMS & REMERS,BRN,35 High StreetBN2 7HE,01273 304441,judy.sutton@adams-remers.co.uk, 01273 301906,: http://www.adams-remers.co.uk,45968
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855,operations@sra.org.uk, 020 7606 4390,: http://www.addleshawgoddard.com,440721
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000,operations@sra.org.uk, 0161 934 6060,,440725
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000,operations@sra.org.uk, 0113 209 2060,,440726
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855,operations@sra.org.uk, 020 7606 4390,,496593
ADIE O'REILLY LLP,HO,3 The LandingsLN1 2TU,01522 577088,info@adie-oreilly.com, 01522 577099,: http://www.adie-oreilly.com,425575
AFA LAW,HO,20 Hillside RoadSM2 6ET,0208 6428967,akbar@akbarali.co.uk, 0208 6617182,: http://www.afalaw.co.uk/,449365
AITKEN LAW,HO,Shernfold Meadow CottageTN3 9EH,01892 750049,neil.aitken@aitkenlaw.co.uk, 01892 750049,,513779
ALEXANDER PAUL,HO,Portia HouseEX16 6AH,01884 252361,peterbuechel@alexanderpaul.com, 01884 253461,: http://www.alexanderpaul.com,328962
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000,operations@sra.org.uk, 0203 088 0088,,401323
ALLEN & OVERY LLP,BRN,40 Bank StreetE14 5DU,020 3088 0000,operations@sra.org.uk, 020 3088 0088,,402513
ANDREW JACKSON,HO,Essex HouseHU1 1XH,01482 325242,rob.penrose@andrewjackson.co.uk, 01482 212974,: http://www.andrewjackson.co.uk,51781
ANDREW SUTTON LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244,: http://www.abg-law.com,518217
ANDREWS LAW LIMITED,HO,Suite 7WV15 5BA,01746 769 700,rob@andrewslaw.co.uk,  01746 769 690,: http://www.andrewslaw.co.uk,517710
ANTHONY COLLINS SOLICITORS LLP,HO,134 Edmund StreetB3 2ES,0121 200 3242,operations@sra.org.uk, 0121 212 7442,: http://www.anthonycollins.com,424137
ANTONY HODARI & CO,HO,34 High StreetM4 1AH,0161 832 4781,enquiry@antonyhodari.co.uk, 0161 832 3319,: http://www.antonyhodari.co.uk,51285
ARCHERS LAW LIMITED LIABILITY PARTNERSHIP,HO,Lakeside HouseTS18 3NB,01642 636500,enquiries@archerslaw.co.uk, 01642 636501,: http://www.archerslaw.co.uk,400107
ASB LAW,HO,Innovis HouseRH10 1AS,01293 603603,crawley@asb-law.com, 01622 656 690,: http://www.asb-law.com,309894
ASHFORDS LLP,HO,Ashford HouseEX1 3LH,01392 337 000,info@ashfords.co.uk, 01392 337 001,: http://www.ashfords.co.uk,508761
ASHFORDS LLP,BRN,Gotham HouseEX16 6LT,01884 203000,info@ashfords.co.uk, 01884 203 001,: http://www.ashfords.co.uk,512002
ASHFORDS LLP,BRN,Blackbrook Park AvenueTA1 2PX,01823 284 444,info@ashfords.co.uk, 01823 232 301,: http://www.ashfords.co.uk,512005
ASHFORDS LLP,BRN,Princess CourtPL1 2EX,01752 521500,info@ashfords.co.uk, 01752 526 001,: http://www.ashfords.co.uk,512006
ASHFORDS LLP,BRN,Bull WharfBS1 6QR,0117 321 8000,operations@sra.org.uk, 0117 321 8001,: http://www.ashfords.co.uk,512013
ASHFORDS LLP,BRN,1 Northumberland AvenueWC2N 5BW,0208 938 6323,info@ashfords.co.uk, 0208 938 6995,: http://www.ashfords.co.uk,512014
ASHTON BOND GIGG,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244,: http://www.abg-law.com,69727
ASHTON GRAHAM,HO,Waterfront HouseIP4 1AS,01473 232425,lawyers@ashtongraham.co.uk, 01473 230505,: http://www.ashtongraham.co.uk,50075
ASHTON GRAHAM,BRN,Anglia HouseIP11 7AN,01394 277188,lawyers@ashtongraham.co.uk, 01394 670726,: http://www.ashtongraham.co.uk,50076
ASHTON GRAHAM,BRN,81 Guildhall StreetIP33 1PZ,01284 762331,lawyers@ashtongraham.co.uk, 01284 764214,: http://www.ashtongraham.co.uk,288851
ASHTON GRAHAM NOMINEES,HO,81 Guildhall StreetIP33 1PZ,01473 232425,lawyers@ashtongraham.co.uk, 01473 230505,: http://www.ashtongraham.co.uk,80421
ASHURST LLP,HO,Broadwalk HouseEC2A 2HA,020 7638 1111,operations@sra.org.uk, 020 7638 1112,: http://www.ashurst.com,468653
ASTBURYS,HO,Falcon WharfBN7 2AQ,01273 405900,jastbury@astburys-law.co.uk, 01273 486383,: http://www.astburys-law.co.uk,350911
ATTEYS,HO,82 Cleveland StreetDN1 3DR,01302 340400,andy.tuke@atteys.co.uk, 01302 323710,,46353
ATTEYS,BRN,18-20 Ship HillS60 2HG,01709 372266,operations@sra.org.uk, 01709 820930,,46354
ATTEYS,BRN,22 Hartley StreetS64 9LX,01709 584014,operations@sra.org.uk, 01709 587157,,46356
ATTEYS,BRN,44 Duke StreetDN1 3EA,01302 340400,operations@sra.org.uk, 01302 383855,,206858
ATTEYS,BRN,31 Regent StreetS70 2HJ,01226 212345,operations@sra.org.uk, 01226 215275,,281364
ATTEYS,BRN,9 High StreetS63 7QQ,01709 872106,operations@sra.org.uk, 01709 760328,,281370
ATTEYS,BRN,The Red Brick HouseS1 4EL,0114 276 6767,operations@sra.org.uk, 0114 273 1287,,448077
ATTEYS,BRN,Richmonds HouseDN4 5JH,01302 762 900,operations@sra.org.uk, 01302 762 801,: http://www.atteys.co.uk,463529
ATTEYS,BRN,19 ChurchgateDN22 6PF,01777 713355,operations@sra.org.uk, 01777 713377,,463530
AUGHTON AINSWORTH,HO,Furness HouseM50 2XA,+44 (0)161 877 8555,info@aughtonainsworth.com, +44 (0) 161 877 8557,: http://www.aughtonainsworth.com,407451
B G LEGAL SERVICES LIMITED,BRN,Oldebourne HouseWC2A 1JE,020 7404 7805,jjb@burkillgovier.com, 020 7404 1191,: http://www.burkillgovier.com,444036
BAKER & MCKENZIE LLP,HO,100 New Bridge StreetEC4V 6JA,020 7919 1000,operations@sra.org.uk, 020 7919 1999,: http://www.bakernet.com,421456
BAKER BOTTS (UK) LLP,HO,41 LothburyEC2R 7HF,0207 726 3636,operations@sra.org.uk, 0207 726 3637,: http://www.bakerbotts.com,472037
BALLANTYNE GRANT LLP,HO,6 Mollington GrangeCH1 6NP,01244 294 230,agrant@ballantynegrantllp.com, 01244 851 908,: http://www.ballantynegrantllp.com,445095
BAND HATTON LLP,HO,1 Copthall HouseCV1 2FY,02476 632121,operations@sra.org.uk, 02476 229038,: http://www.bandhatton.co.uk,498411
BANNER JONES LIMITED,HO,24 GlumangateS40 1UA,01246 560 560,jeh@bannerjones.co.uk, 01246 220 390,: http://www.bannerjones.co.uk,493083
BARLOW LYDE & GILBERT LLP,HO,Beaufort HouseEC3A 7NJ,020 7247 2277,operations@sra.org.uk, 020 7071 9000,: http://www.blg.co.uk,462715
BARLOW LYDE & GILBERT LLP,BRN,4420 Nash CourtOX4 2RU,01865 336600,operations@sra.org.uk, 01865 336611,: http://www.blg.co.uk,462716
BARLOW LYDE & GILBERT LLP,BRN,Chancery PlaceM2 2JT,0161 829 6400,operations@sra.org.uk, 0161 829 6401,,518957
BARLOW ROBBINS LLP,HO,The OrielGU1 3SR,01483 562901,enquiries@barlowrobbins.com, 01483 464260,: http://www.barlowrobbins.com,441926
BARLOW ROBBINS LLP,BRN,55-56 Quarry StreetGU1 3UE,1483543200,guilford@barlowrobbins.com,1483573325,: http://www.barlowrobbins.com,441936
BARLOW ROBBINS LLP,BRN,30 Church StreetGU7 1EP,01483 417121,godalming@barlowrobbins.com, 01483 426836,: http://www.barlowrobbins.com,441939
BARLOW ROBBINS LLP,BRN,Concord HouseGU21 6HJ,01483 748500,woking@barlowrobbins.com, 01483 729933,: http://www.barlowrobbins.com,441941
BARNETT ALEXANDER CONWAY INGRAM LLP,HO,Sovereign HouseN3 1QB,0208 349 7680,info@bacisolicitors.co.uk, 0208 346 8245,: http://www.bacisolicitors.co.uk,488698
BARNETT ALEXANDER CONWAY INGRAM LLP,BRN,Caldew HouseW6 0QW,0208 741 7272,info@bacisolicitors.co.uk, 0208 741 7273,: http://www.bacisolicitors.co.uk,488699
BARRETT & THOMSON,HO,Buckingham CourtSL1 1TQ,01753 777555,info@barrettandthomson.com, 01753 777590,: http://www.barrettandthomson.com,46656
BARRINGTON SCHOLFIELD,BRN,11-12 King SquareTA6 3AH,01278 422858,operations@sra.org.uk,,,509849
BARTON LEGAL,HO,1a Harrogate RoadLS19 6HW,0113 202 9550,billbarton@bartonlegal.com, 0113 202 9468,: http://www.bartonlegal.com,465192
