A & G LEGAL ADVOCATES,HO,85-87 Bayham StreetNW1 0AG,0207 424 7898
A A MIRSONS SOLICITORS LIMITED,HO,Ground FloorEC4Y 0HP,020 7744 7771
Name,HO,PO Box 645HA2 2EN,7880600224
A C S HARDS & CO,HO,Bank ChambersKT3 4DA,020 8942  2258
A CITY LAW FIRM LLP,HO,2 Devonshire SquareEC2M 4UJ,0207 426 0382
A H BROOKS & CO,HO,Derby HouseST13 6JG,01538 383201
A H BROOKS & CO,BRN,73 High StreetST10 1AN,01538 754253
A J  BIRD & CO,HO,1 Warwick RowSW1E 5ER,020 7808 7908
A J BALKITIS LIMITED,HO,c/o Rothera DowsonNG1 1PZ,0115 9100 600
A J BOND & CO,HO,Universal HouseBR1 1QA,020 8464 2229
A J POWELL & CO,HO,60 St. James ParkTN1 2LL,01892 548784
A M DAVIES,HO,Reynard CragHG3 2JQ,01423 772860
A M STRACHAN & COMPANY,HO,67 Falkirk StreetN1 6SD,0207 729 0003
A N P SOLICITORS LIMITED,HO,290 Kiln RoadSS7 1QT,01702 556 688
A OLDSCHOOL & CO,HO,116-118 Islington High StreetN1 8EG,020 7359 8345
A V A MITCHELL & CO,HO,39 Forest ApproachIG8 9BP,020 8504 7766
A V RILLO SOLICITORS LLP,HO,Gorray HouseEN1 3PN,0208 370 3874
A.C.S.L. LTD,HO,10 High StreetCH62 7HA,0151 346 1375
AA LAW,HO,6B Skegness Business CentrePE25 3SJ,01754 896970
AA LAW (LANCASHIRE) LTD,HO,3 Mill LaneBB2 2AU,0845 644 0786
AARON & PARTNERS LLP,HO,Grosvenor CourtCH1 1HG,01244 405555
AARON & PARTNERS LLP,BRN,Pall Mall CourtM2 4PD,0844 800 8346
ABA LAW,HO,143 Ditchling RoadBN1 6JA,01273 564939
ABA LAW,BRN,88 High StreetBN2 7HF,01273 309193
ABA LAW SOLICITORS,HO,52-54 The DriveBN3 3PD,
ABBEY COURT SOLICITORS,HO,Unit 6BB7 9SP,01254  824 963
ABBEY SOLICITORS,HO,Brighton HouseM14 5JQ,0161 835 9933
ABBOT SMART OSIBANJO,HO,74 Camberwell Church StreetSE5 8QZ,0207 708 0077
ABBOTT FAHLBUSCH,HO,7-10 Adam StreetWC2N 6AA,0207 520 9070
ABBOTT WALKER,HO,55 Dyer StreetGL7 2PP,01285 652555
ABBOUSHI ASSOCIATES,HO,18 Oakdene ParkN3 1EU,020 8343 4045
ABELS,HO,6 College PlaceSO15 2XL,023 8022 0317
ABENSONS,HO,102 Allerton RoadL18 2DG,0151 733 3111
ABINGER STONE SOLICITORS,HO,Suite 29W6 9LZ,0203 371 7756
ABLITTS,HO,Unit 24SE26 5BW,020 8776 8783
ABRAHAMS DRESDEN LLP,HO,111 Charterhouse StreetEC1M 6AW,020 7251 3663
ABRAMS COLLYER,HO,Twynham HouseSO41 9AL,01590 677888
ACCESS EMPLOYMENT LAW LIMITED,HO,4a Clifton SquareFY8 5JP,01253 731199
ACKLAM BOND NOOR SOLICITORS,HO,Equity ChambersBB5 1LY,01254 872272
ACKLAM BOND NOOR SOLICITORS,BRN,2 Strawberry BankBB2 6AA,01254 56068
ACKLAM BOND NOOR SOLICITORS,BRN,9 Leeds RoadWF12 7BB,01924 465 786
ACS LAW,HO,20 Hanover SquareW1S 1HX,020 7898 0571
ACTONS,HO,20 Regent StreetNG1 5BQ,0115 9100 200
ACUMEN BUSINESS LAW LIMITED,HO,Audley HouseBN3 2DE,08458 678 978
AD LAW,HO,1 Regis RoadNW5 3EW,020 7428 3700
ADAM COHEN PARTNERSHIP,HO,Eastwick FarmIP23 7DZ,01379 678000
ADAM F GREENHALGH & CO,HO,17 Mawdsley StreetBL1 1LE,01204 521067
ADAM F GREENHALGH & CO,BRN,20 Mawdsley StreetBL1 1LF,01204 521067
ADAMS & REMERS,HO,Trinity HouseBN7 2NN,01273 480616
ADAMS & REMERS,BRN,35 High StreetBN2 7HE,01273 304441
ADAMS HARRISON,HO,14-16 Church StreetCB10 1JW,01799 523441
ADAMS HARRISON,BRN,52a High StreetCB9 8AR,01440 702485
ADAMS HARRISON,BRN,43 High StreetCB22 3BG,01223 832939
ADAMS SOLICITORS,HO,129 Mile End RoadE1 4BG,0207 790 2000
ADAMS SOLICITORS,BRN,33 Cavendish SquareW1G 0PW,020 7182 4500
ADDISON O'HARE,HO,Kelvin HouseWS1 1UL,01922 725515
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855
ADDLESTONE KEANE SOLICITORS,HO,Carlton TowerLS1 2QB,0113 244 6700
ADEL & HAQUE,HO,Lower GroundLS1 5QX,0113 2343560
ADIE O'REILLY LLP,HO,3 The LandingsLN1 2TU,01522 577088
ADLAMS LLP,HO,37b Market SquarePE19 2AR,01480 474061
ADLAMS LLP,BRN,St Johns HousePE29 3DP,0148 458885
ADLEX SOLICITORS,HO,76a Belsize LaneNW3 5BJ,020 7317 8404
ADRIAN STABLES,HO,Westover ChambersTA10 9RB,0845 873 6180
ADRIAN STICKLAND LIMITED,HO,Six WaysB24 8AA,0121 377 7773
ADVANCE LEGAL,HO,Imex Business ParkDE14 2AZ,01283 544 492
AEGIS LEGAL LIMITED,HO,The AnnexeWA14 4DW,0161 927 3800
AEQUITAS LAW LIMITED LIABILITY PARTNERSHIP,HO,Flat 4W1K 3ND,0207 495 2776
AES WINTERBOTHAMS  LLP,HO,3-7 RowcroftGL5 3BJ,01453 847200
AES WINTERBOTHAMS  LLP,BRN,StokescroftGL6 0DZ,01453 832566
AEW LITIGATION SOLICITORS,HO,462 Chester Road NorthB73 6RG,0121 354 8640
AFA LAW,HO,20 Hillside RoadSM2 6ET,0208 6428967
AGI LEGAL SOLICITORS,HO,10 Market StreetBL9 0AJ,0161 761 3638
AHM LAW,HO,1st FloorKT6 5PT,0208 339 9195
AHMADS' SOLICITORS,HO,Suite 38SW15 2PG,020 8788 1234
AHMUD & CO SOLICITORS,HO,137-139 Brent StreetNW4 4DJ,020 8886 1111
AI LAW LIMITED,HO,66 Chorley StreetBL1 4AL,01204 454344
AISTON SOLICITORS,HO,43 Friends RoadCR0 1ED,020 8681 0123
AJ PRESTON SOLICITORS,HO,Centrix HouseWA12 9UY,01925 273150
AJAZ & ANDERSON,HO,41 St. Bartholomews RoadRG1 3QA,0118 966 1082
AJR SOLICITORS,HO,Suita 19aDY6 9JS,0845 500 1201
AKAL  SOLICITORS,HO,23a York RoadIG1 3AD,020 8477 0280
AKIN & LAW LLP,HO,376 City RoadEC1V 2QA,0207 833 8828
AKIN GUMP STRAUSS HAUER & FELD,HO,Eighth FloorE1 6EG,+ 44 (0) 20 7012 9600
AKODU & CO SOLICITORS,HO,Britannia HouseW6 0LH,0845 470 0550
AKP SOLICITORS LIMITED,HO,19 Plashet GroveE6 1AD,020 8472 4462
ALAN ASHLEY & CO,HO,36-38 Whitefriars StreetEC4Y 8BQ,020 7822 7482
ALAN EDWARDS & CO,HO,192-196 Campden Hill RoadW8 7TH,020 7221 7644
ALAN LOWE & CO,HO,Eaton MewsHP7 0DD,01494 787 598
ALAN ROBERTS,HO,H11ACH2 3NE,01244 348816
ALAN SMEATH & CO,HO,6 High StreetMK17 8RL,01908 584307
ALAN TAYLOR & CO,HO,14 Bowling Green LaneEC1R 0BD,020 7251 3222
ALBINSON NAPIER & CO,HO,20 Bold StreetWA1 1HP,01925 634681
ALD LEGAL LIMITED,HO,First FloorHA1 2BQ,020 8869 0422
ALDERSON DODDS,HO,4-8 Stanley StreetNE24 2BU,01670 352293
ALDERSON LEGAL,HO,1st FloorM1 3BE,0161 242 6859
ALDRIDGE BROWNLEE SOLICITORS LLP,HO,13 Christchurch RoadBH1 3JY,01202 294411
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,89 Wimborne RoadBH3 7AW,01202 526343
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,912 Wimborne RoadBH9 2DJ,01202 527008
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,277 Lymington RoadBH23 5EB,01425 282150
ALEN-BUCKLEY & CO,HO,2-4 Bennet CourtSW17 7EG,020 8767 8336
ALEXANDER & CO,HO,56 Friar GateDE1 1DF,01332 600005
ALEXANDER & CO,BRN,2 Chapel StreetDE21 7JP,01332 600011
ALEXANDER & PARTNERS,HO,28 Craven Park RoadNW10 4AB,020 8965 7121
ALEXANDER HAIGH & CO,HO,10 Queens RoadCM14 4HE,01277 216320
ALEXANDER JLO,HO,11 Lanark SquareE14 9RE,020 7537 7000
ALEXANDER JLO,BRN,138-148 Cambridge Heath RoadE1 5QJ,020 7791 3600
ALEXANDER JLO,BRN,7a The BroadwayE4 9QL,0208 527 3401
ALEXANDER JLO,BRN,Second FloorE14 9GL,020 7531 8820
ALEXANDER MARKS LLP,HO,55 Queen Anne StreetW1G 9JR,020 7317 1166
ALEXANDER PAUL,HO,Portia HouseEX16 6AH,01884 252361
ALEXANDER SOLICITORS LIMITED,HO,80 Dunstable RoadLU1 1EH,01582 727 888
ALFRED NEWTON & CO,HO,49-51 Wellington Road SouthSK1 3RX,0161 480 1245
ALFRED NEWTON & CO,BRN,32 Alderley RoadSK9 1JX,01625 523647
ALFRED NEWTON & CO,BRN,231 George LaneSK6 1DJ,0161 430 8831
ALFRED TRUMAN,HO,5 Sheep StreetOX26 6JB,01869 252761
ALISON TRENT & CO,HO,149 Fleet StreetEC4A 3DL,0207 583 3350
ALISTAIRS,HO,30 Mount Hill RoadBS15 8QX,01179 613 952
ALKER & BALL,HO,29-33 King StreetWN1 1EG,01942 246241
ALLAN JANES LLP,HO,21-23 Easton StreetHP11 1NT,01494 521301
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000
ALLEN & OVERY LLP,BRN,40 Bank StreetE14 5DU,020 3088 0000
ALLEN BARFIELDS,HO,Gainesford HouseBR4 0PX,020 8776 1010
ALLEN CRYSTAL REEF LTD,HO,3rd FloorWC1H 9BB,0207 554 8760
ALLETSONS,HO,31 College StreetTA8 1AS,01278 780151
ALLETSONS LIMITED,HO,8 Castle StreetTA6 3DB,01278 456621
ALLIANCE SOLICITORS,HO,595 Kenton RoadHA3 9RT,020 8206 3530
ALLINGTON HUGHES,BRN,Newgate WalkCH1 1JU,01244 312166
ALLISON & REILLY SOLICITORS,HO,Trident HouseL2 2HF,0151 283 4646
ALLISON & REILLY SOLICITORS,BRN,Argyle HouseM24 1AE,
ALLSOPP & CO INCORPORATING AJ SALISBURY & CO,HO,42a Poplar RoadB91 3AB,0121 705 9020
ALLSOPP & CO INCORPORATING AJ SALISBURY & CO,BRN,King Edward HouseB91 3TB,0121 704 4282
ALLWEIS & CO,HO,64 Leicester RoadM7 4AR,0161 950 8213
ALPHA LEXIS LAW FIRM,HO,22 Durban Road EastWD18 0RN,0845 194 7340
ALSTERS KELLEY,HO,Hamilton HouseCV32 4LY,0844 561 0100
ALSTON ASHBY,BRN,25 Military RoadME4 4JG,01634 842017
ALTERMANS,HO,233 Regents Park RoadN3 3LF,020 8346 1777
AMAN SOLICITORS ADVOCATES (LONDON) LTD,HO,295 Harrow RoadHA9 6BD,0208 782 3776
AMANDA SHAW SOLICITORS,HO,1 Mill LaneRH13 8JU,01403 710 742
AMBROSE APPELBE,HO,7 New SquareWC2A 3RA,020 7242 7000
AMD SOLICITORS LIMITED,HO,100 Henleaze RoadBS9 4JZ,01179 621 205
AMIRTHAN & SURESH SOLICITORS,HO,150a Ealing RoadHA0 4PY,020 8903 7211
AMS SOLICITORS LIMITED,HO,WentworthPR2 9LF,01772 653 333
ANA KANELLOS FURLONG SOLICITOR,HO,29 Lansdowne GardensSW8 2EQ,0207 627 8131
ANAMI LAW,HO,Griffins Wood HouseCM16 5HT,01992 579 413
ANAMI LAW INCOPORATING HUGHES & CO,BRN,186 Hutton RoadCM15 8NR,01277 226644
ANAMI LAW INCOPORATING KIRKWOODS,BRN,51 High RoadWD23 1EE,020 8950 1155
ANDERSON & COMPANY,HO,76 Wallingford RoadOX10 7EU,01865 858 878
ANDERSON CASTLE & CO LIMITED,HO,13 - 14 Old SquareWC2A 3UE,020 7831 4445
ANDERSON FIDLER,HO,Lincoln HouseEN3 4AH,020 8804 6596
ANDERSON PARTNERSHIP,HO,71 SaltergateS40 1JS,01246 220737
ANDERSONS (INCORPORATING STEPHEN WEBB & CO),HO,9A Cross StreetIP23 7AB,01379 873510
ANDERSONS SOLICITORS,HO,Regent HouseHG1 1JX,01423 527852
ANDREW & ANDREW LLP,HO,Atlantic HousePO2 8AL,023 9267 5555
ANDREW & CO LLP,HO,1 Flavian RoadLN2 4GR,01522 512123
ANDREW & CO LLP,BRN,33 Kirk GateNG24 1AD,01636 673743
ANDREW & MONROE SOLICITORS,HO,Flat 41  Flagon CourtCR0 1BU,020 8686 5862
ANDREW BODDY SOLICITORS,HO,The Old Fire StationNN14 6HZ,01536 714900
ANDREW BRYCE & CO,HO,Unit 23 Cambridge Science ParkCB4 0EY,01223 437011
ANDREW BURN SOLICITOR,HO,WoodlandsDY9 0UL,01384 826361
ANDREW C BLUNDY SOLICITORS,HO,13 Nelson RoadSE10 9JB,020 8293 3633
ANDREW HOLLAND LAW LIMITED,HO,Suite 1 The BakeryBD20 6RB,01535 658274
ANDREW JACKSON,HO,Essex HouseHU1 1XH,01482 325242
ANDREW KINGSTON & CO,HO,Suite 17 Friary ChambersHU1 2HA,1482216217
ANDREW SUTTON LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651
ANDREW TOBIAS & CO SOLICITORS,HO,53 Paddington StreetW1U 4HT,020  7935 8399
ANDREWS LAW LIMITED,HO,Suite 7WV15 5BA,01746 769 700
ANGEL & CO,HO,1 Green StreetW1K 6RG,020 7495 0555
ANSONS LLP,BRN,Commerce HouseWS11 7FJ,01543 466660
ANTHONY COLLINS SOLICITORS LLP,HO,134 Edmund StreetB3 2ES,0121 200 3242
ANTHONY GOLD,BRN,Lloyds Bank ChambersSW16 1BG,0207 9404000
ANTHONY GOLD INCORPORATING JOCKELSON MCNULTY & CO,BRN,169 Walworth RoadSE17 1RW,0207 9404000
ANTHONY GOLD SOLICITORS INCORPORATING WALLACE & CO,HO,53 Tooley StreetSE1 2QN,020 7940 4000
ANTHONY JAYES LLP,HO,Universal HouseW1T 7JY,0207 291 9110
ANTHONY KING & CO,HO,Southgate HouseSS14 1BN,01268 240 400
ANTHONY LEONARD ASSOCIATES,HO,Airport HouseCR0 0XZ,020 8288 3548
AP LAW SOLICITORS LTD,HO,Fourth FloorEC1N 2HA,020 7822 2180
AP LAW SOLICITORS LTD,BRN,257 Balham High RoadSW17 7BD,020 8672 2617
AP MORGAN FORBES LLP,HO,Gorray HouseEN1 3PN,020 8342 4230
APFEL CARTER,HO,28-30 Park RoadFY8 1PA,01253 725265
APLIN-STOCKTON-FAIRFAX,HO,36 West BarOX16 9RU,01295 251234
APPLETON MASSEY,HO,Wells HouseBR1 1LT,0845 8121 002
AQUILA LAW,HO,33A Teignmouth RoadTQ14 8UR,01626 870280
AR LEGAL SOLICITORS,HO,68-70W4 1QN,+44 (0) 20 8747 9090
ARBIS LLP,HO,Marble QuayE1W 1UH,0207 481 2188
ARC PROPERTY SOLICITORS LLP,HO,Simpson HouseHG1 2PE,08452 600 888
ARC PROPERTY SOLICITORS LLP,BRN,Suite 404  Albany HouseW1B 3HH,08452 600 888
ARCHER FIELDS SOLICITORS,HO,259-261 Cranbrook RoadIG1 4TG,020 8518 5600
ARCHERS LAW LIMITED LIABILITY PARTNERSHIP,HO,Lakeside HouseTS18 3NB,01642 636500
ARCHON SOLICITORS LLP,HO,Martin HouseEC4R 0DP,020 7397 9650
ARGYLES,HO,43 Albert RoadB79 7JS,01827 56276
ARKRIGHTS SOLICITORS,HO,15-17 Exchange RoadWD18 0JD,01923 233 477
ARLINGTONS SHARMAS SOLICITORS,HO,6 Arlington StreetSW1A 1RE,020 7299 8999
ARMITAGE & CO,HO,Pearl Assurance HouseEX4 3NE,01392 214786
ARMITAGE SYKES LLP,BRN,74 New North RoadHD1 5NW,01484 538121
ARMSTRONG & CO,HO,2 Dartmouth RoadSE23 3XU,020 8699 3477
ARMSTRONG JAMES LLP,HO,39 Castle StreetRG1 7SL,0118 957 0548
ARMSTRONGS,HO,167b Kingston RoadSW19 1LJ,020 8543 6800
ARNDALE SOLICITORS,HO,1 Kelsall AvenueLS6 1RB,0113 2431 280
ARNOLD & COMPANY,HO,17 King StreetWD18 0BW,01923 221295
ARNOLD & PORTER (UK) LLP,HO,International Financial CentreEC2N 1HQ,020 7786 6100
ARNOLD FOOKS CHADWICK LLP,HO,15 Bolton StreetW1J 8AR,020 7499 3007
ARNOLD GEORGE & CO,HO,Wellesley HouseIG1 4NH,020 8554 5484
ARORA LODHI HEATH,HO,170 High StreetW3 6QZ,020 8993 9995
ARORA LODHI HEATH,BRN,Winchester HouseNW1 5RA,020 7170 4180
ARORA SOLICITORS,HO,12 Green StreetE7 8BZ,0208 472 6869
