3C LEGAL SERVICES LIMITED,HO,29 Sandpit LaneAL1 4EW,07595 895 527
A N P SOLICITORS LIMITED,HO,290 Kiln RoadSS7 1QT,01702 556 688
A S CROXSON,HO,216 Sheen LaneSW14 8LB,0208 998 3097
A.SEELHOFF SOLICITORS,HO,1 Lyric SquareW6 0NB,020 3178 4337
AARON & PARTNERS LLP,HO,Grosvenor CourtCH1 1HG,01244 405555
ABRAHAMSON & ASSOCIATES(INC FRANCIS & SOLOMONS),HO,10a North End RoadNW11 7PH,020 8458 1100
ACCULEGAL SOLICITORS,HO,61 Grand ParadeN4 1AF,0208 802 7775
ACR SOLICITORS LLP,HO,Suite 53E1 6EX,0207 456 1353
ACTONS,HO,20 Regent StreetNG1 5BQ,0115 9100 200
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855
ADLEX SOLICITORS,HO,76a Belsize LaneNW3 5BJ,020 7317 8404
ADRIAN FORSTER LIMITED,HO,c/o ActonsNG1 5BQ,0115 9100 200
ALAN LOWE & CO,HO,Eaton MewsHP7 0DD,01494 787 598
ALDERSON DODDS,HO,4-8 Stanley StreetNE24 2BU,01670 352293
ALFRED PLACE  LIMITED,HO,50 BroadwaySW1H 0BL,020 7227 7000
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000
ALLEN & OVERY LLP,BRN,40 Bank StreetE14 5DU,020 3088 0000
ALLENS,HO,15 Landport TerracePO1 2QS,023 9282 2411
ALSTERS KELLEY,HO,Hamilton HouseCV32 4LY,0844 561 0100
ALSTERS KELLEY,BRN,3 Dugdale StreetCV11 5QJ,0844 561 0100
ALSTERS KELLEY,BRN,1 Manor TerraceCV1 2NU,0844 561 0100
ALTMORE BUSINESS LAW,HO,30A High Street EastLE15 9PZ,0845 094 9000
AMANDA DOYLE LAW SERVICES LIMITED,HO,12 Knole ParkBS32 4BS,
ANDERSON & COMPANY,HO,76 Wallingford RoadOX10 7EU,01865 858 878
ANDREW HOLLAND LAW LIMITED,HO,Suite 1 The BakeryBD20 6RB,01535 658274
ANDREW SUTTON LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651
ANSONS LLP,HO,St. Marys ChambersWS13 6LQ,01543 263456
ANSONS LLP,BRN,Commerce HouseWS11 7FJ,01543 466660
ANTHONY COLLINS SOLICITORS LLP,HO,134 Edmund StreetB3 2ES,0121 200 3242
ANTHONY GOLD SOLICITORS INCORPORATING WALLACE & CO,HO,53 Tooley StreetSE1 2QN,020 7940 4000
ANTINGHAMS SOLICITORS,HO,HollywellSL6 3PH,01628 825 395
ARCHERS LAW LIMITED LIABILITY PARTNERSHIP,HO,Lakeside HouseTS18 3NB,01642 636500
ARMSTRONG JAMES LLP,HO,39 Castle StreetRG1 7SL,0118 957 0548
ARNOLD & PORTER (UK) LLP,HO,International Financial CentreEC2N 1HQ,020 7786 6100
ARUAN CONSULTING LIMITED,HO,51 Montpelier WalkSW7 1JH,0207 225 2696
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,HO,Westbrook HouseME14 5DZ,01622 356 000
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,BRN,Innovis HouseRH10 1AS,01293 603603
ASB LAW,HO,Innovis HouseRH10 1AS,01293 603603
ASB LAW,BRN,Horizon HouseME14 3EN,01622 656500
ASB LAW,BRN,18 London RoadRH12 1AY,01403 246800
ASB LAW,BRN,95 Queens RoadBN1 3XE,01273 828000
ASB LAW,BRN,44-46 Old SteineBN1 1NH,01273 229900
ASHFORDS LLP,HO,Ashford HouseEX1 3LH,01392 337 000
ASHFORDS LLP,BRN,Gotham HouseEX16 6LT,01884 203000
ASHFORDS LLP,BRN,Blackbrook Park AvenueTA1 2PX,01823 284 444
ASHFORDS LLP,BRN,Princess CourtPL1 2EX,01752 521500
ASHFORDS LLP,BRN,Bull WharfBS1 6QR,0117 321 8000
ASHFORDS LLP,BRN,1 Northumberland AvenueWC2N 5BW,0208 938 6323
ASHTON BOND GIGG,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651
ASHTON GRAHAM,HO,Waterfront HouseIP4 1AS,01473 232425
ASHURST LLP,HO,Broadwalk HouseEC2A 2HA,020 7638 1111
ASLAN CHARLES KOUSETTA LLP,HO,Welbeck HouseW1T 3PY,020 3326 2280
ASPELL & CO LIMITED,HO,29 Milverton CrescentCV32 5NJ,01926 337 613
ASTLE PATERSON LIMITED,HO,181 Horninglow StreetDE14 1NJ,01283 531366
ATKINS THOMSON,HO,41 Maiden LaneWC2E 7LJ,020 7836 9300
ATKINS WILSON & BELL LLP,HO,3-5 Jenner RoadGU1 3AQ,01483 302345
ATTEYS,HO,82 Cleveland StreetDN1 3DR,01302 340400
ATTEYS,BRN,18-20 Ship HillS60 2HG,01709 372266
ATTEYS,BRN,22 Hartley StreetS64 9LX,01709 584014
ATTEYS,BRN,44 Duke StreetDN1 3EA,01302 340400
ATTEYS,BRN,31 Regent StreetS70 2HJ,01226 212345
ATTEYS,BRN,9 High StreetS63 7QQ,01709 872106
ATTEYS,BRN,The Red Brick HouseS1 4EL,0114 276 6767
ATTEYS,BRN,Richmonds HouseDN4 5JH,01302 762 900
ATTEYS,BRN,19 ChurchgateDN22 6PF,01777 713355
AZRIGHTS SOLICITORS,HO,81 Essex RoadN1 2SF,020 7700 1414
B J MACFARLANE & CO,HO,4 Lombard StreetEC3V 9HD,0207 190 2988
B M NYMAN & CO,HO,181 Creighton AvenueN2 9BN,020 8365 3060
B P COLLINS,HO,Collins HouseSL9 8EL,01753 889995
B P COLLINS TRUST CORPORATION LIMITED,HO,Collins HouseSL9 8EL,01753 889995
BACKHOUSE JONES LIMITED,HO,The PrintworksBB7 9WD,01254 828300
BAINES WILSON LLP,HO,2 Merchants DriveCA3 0JW,01228 552600
BAKER & MCKENZIE LLP,HO,100 New Bridge StreetEC4V 6JA,020 7919 1000
BAKERS SOLICITORS,HO,89 High Street WestSK13 8BB,01457 859 123
BANCE COMMERICAL LAW,HO,7 The FairwaysRH1 6LP,1737226034
BANNER JONES LIMITED,HO,24 GlumangateS40 1UA,01246 560 560
BANNER JONES LIMITED,BRN,3rd FloorS1 2GY,01142 755 266
BANNER JONES LIMITED,BRN,Marsden ChambersS40 1JY,01246 209 773
BANNER JONES LIMITED,BRN,1 Sheffield RoadS18 2DH,01246 414 438
BANNER JONES LIMITED,BRN,4 Cotton StreetS44 6HA,01246 827 516
BANNER JONES LIMITED,BRN,95 High StreetS45 9DZ,01246 861 250
BARGATE MURRAY,HO,5th FloorEC2A 3NF,+44 (0) 20 7375 1393
BARLOW LYDE & GILBERT LLP,HO,Beaufort HouseEC3A 7NJ,020 7247 2277
BARLOW LYDE & GILBERT LLP,BRN,4420 Nash CourtOX4 2RU,01865 336600
BARLOW LYDE & GILBERT LLP,BRN,Chancery PlaceM2 2JT,0161 829 6400
BARLOW ROBBINS LLP,HO,The OrielGU1 3SR,01483 562901
BARLOW ROBBINS LLP,BRN,55-56 Quarry StreetGU1 3UE,1483543200
BARLOW ROBBINS LLP,BRN,30 Church StreetGU7 1EP,01483 417121
BARLOW ROBBINS LLP,BRN,Concord HouseGU21 6HJ,01483 748500
BARNETT ALEXANDER CONWAY INGRAM LLP,HO,Sovereign HouseN3 1QB,0208 349 7680
BARRATT LEGAL,HO,NorthwoodBR7 5PY,0208 305 9794
BATCHELOR MYDDELTON,HO,Brosnan HouseEN6 1BW,01707 647 088
BATES WELLS & BRAITHWAITE LONDON LLP,HO,2-6 Cannon StreetEC4M 6YH,020 7551 7777
BATTENS SOLICITORS LIMITED,HO,Mansion HouseBA20 1EP,01935 846000
BATTENS SOLICITORS LIMITED,BRN,26 St. Thomas StreetDT4 8EJ,01305 774666
BATTENS SOLICITORS LIMITED,BRN,The Bank HouseDT9 3BU,01935 814811
BATTENS SOLICITORS LIMITED,BRN,42 High West StreetDT1 1UU,01305 250560
BEACHCROFT LLP,HO,100 Fetter LaneEC4A 1BN,0207 242 1011
BEACHCROFT LLP,BRN,Portwall PlaceBS1 6Na,0117 918 2000
BEALE AND COMPANY SOLICITORS LLP,HO,Garrick HouseWC2E 8JB,020 7240 3474
BELLS,HO,11 South StreetGU9 7QX,01252 733733
BERG LEGAL,HO,35 Peter StreetM2 5BG,0161 833 9211
BERMANS LLP,HO,Lancaster HouseL2 2QP,0151 224 0500
BERMANS LLP,BRN,Cardinal HouseM3 2LY,0161 827 4600
BERRY SMITH LLP,BRN,1 Northumberland AvenueWC2N 5BW,0845 6038337
BERRYMAN SHACKLOCK LLP,HO,Park HouseNG1 6DN,0845 310 7200
BERRYMANS LACE MAWER LLP,HO,Kings HouseM3 2NU,0161 236 2002
BERWIN LEIGHTON PAISNER LLP,HO,Adelaide HouseEC4R 9HA,0207 760 1000
BERWIN LEIGHTON PAISNER LLP,BRN,St Magnus HouseEC3R 6HA,0207 760 1000
BERWINS SOLICITORS LIMITED,HO,2 North Park RoadHG1 5PA,01423 509 000
BEVAN BRITTAN LLP,HO,Kings OrchardBS2 0HQ,0870 194 1000
BEVAN BRITTAN LLP,BRN,Fleet Place HouseEC4M 7RF,0870 194 1000
