ACUMEN BUSINESS LAW LIMITED,HO,Audley HouseBN3 2DE,08458 678 978,penina.shepherd@acumenbusinesslaw.co.uk, 08717 142 698,: http://www.acumenbusinesslaw.co.uk,486654
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855,operations@sra.org.uk, 020 7606 4390,: http://www.addleshawgoddard.com,440721
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000,operations@sra.org.uk, 0161 934 6060,,440725
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000,operations@sra.org.uk, 0113 209 2060,,440726
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855,operations@sra.org.uk, 020 7606 4390,,496593
ADLEX SOLICITORS,HO,76a Belsize LaneNW3 5BJ,020 7317 8404,adamt@adlexsolicitors.co.uk, 020 7317 8405,: http://www.adlexsolicitors.co.uk,344672
AEQUITAS LAW LIMITED LIABILITY PARTNERSHIP,HO,Flat 4W1K 3ND,0207 495 2776,operations@sra.org.uk, 0207 495 1005,,353041
AGAPE SOLICITORS,HO,1st FloorHA8 0BB,020 8952  9694,agapesolicitors@aol.com, 020 8951 5565,,364300
AHMUD & CO SOLICITORS,HO,137-139 Brent StreetNW4 4DJ,020 8886 1111,operations@sra.org.uk, 020 8886 2244,: http://www.ja-solicitors.com,407654
ALBION GEE & COMPANY,HO,12 Chiswick LaneW4 2JE,020 8742 7600,operations@sra.org.uk, 020 8742 7666,,46001
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000,operations@sra.org.uk, 0203 088 0088,,401323
ALLEN & OVERY LLP,BRN,40 Bank StreetE14 5DU,020 3088 0000,operations@sra.org.uk, 020 3088 0088,,402513
ALLENS,HO,15 Landport TerracePO1 2QS,023 9282 2411,allens@allens-law.co.uk, 023 9229 3773,: http://www.allens-law.co.uk,46075
ALSTERS KELLEY,HO,Hamilton HouseCV32 4LY,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0299,: http://www.alsterskelley.com,70372
ALSTERS KELLEY,BRN,3 Dugdale StreetCV11 5QJ,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0399,: http://www.alsterskelley.com,345741
ALSTERS KELLEY,BRN,1 Manor TerraceCV1 2NU,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0199,: http://www.alsterskelley.com,384860
AMANDA DOYLE LAW SERVICES LIMITED,HO,12 Knole ParkBS32 4BS,,amanda@doylelaw.co.uk,,,523773
ANDERSON & COMPANY,HO,76 Wallingford RoadOX10 7EU,01865 858 878,enquiries@andersonsolicitors.com, 01865 858 900,: http://www.andersonsolicitors.com,78909
