PORTLAND LEGAL SERVICES,HO,6 ChiswellDT5 1AN,01305 866162,,,,info@portlandlaw.co.uk, 01305 866163,: http://www.portlandlaw.co.uk,488416
PORTNER AND JASKEL LLP,HO,63-65 Marylebone LaneW1U 2RA,020 7616 5300,,,,info@portner.co.uk, 020 7258 8521,: http://www.portner.co.uk,426798
PRETTYS,HO,Elm HouseIP1 2AD,01473 232121,,,,mail@prettys.co.uk, 01473 230002,: http://www.prettys.co.uk,57766
PRETTYS,BRN,1 Legg StreetCM1 1JS,01245 295295,,,,mail@prettys.co.uk, 01245 295299,: http://www.prettys.co.uk,449343
PRINCE EVANS,HO,Craven HouseW5 2BS,020 8567 3477,,,,operations@sra.org.uk, 020 8840 7757,: http://www.prince-evans.co.uk,63233
QUEEN STREET TRUSTEES LIMITED,HO,2 Wellington PlaceLS1 4BZ,,,,,operations@sra.org.uk,,,344318
QUERCUS LAW,HO,107-111 Fleet StreetEC4A 2AB,020 7936 9816,,,,robert_oakes@btinternet.com, 020 7936 9133,,445508
RADCLIFFESLEBRASSEUR,HO,5 Great College StreetSW1P 3SJ,020 7222 7040,,,,info@rlb-law.com, 020 7222 6208,: http://www.rlb-law.com,184739
RADCLIFFESLEBRASSEUR,BRN,5-6 Park PlaceLS1 2RU,0113 234 1220,,,,operations@sra.org.uk, 0113 234 1573,: http://www.rlb-law.com,352499
RALLI,HO,16-17 Ralli CourtsM3 5FT,0161 832 6131,,,,ralli@ralli.co.uk, 0161 6150741,: http://www.ralli.co.uk,47058
RAWORTHS LLP,HO,Eton HouseHG1 1HF,01423 566666,,,,operations@sra.org.uk, 01423 504572,: http://www.raworths.co.uk,439478
READ DUNN CONNELL,HO,Manor Row chamberBD1 4PS,01274 723858,,,,info@readdunnconnell.co.uk, 01274 728493,: http://www.readdunnconnell.co.uk,291367
READ DUNN CONNELL,BRN,9 New Brook StreetLS29 8DQ,01943 601173,,,,info@readdunnconnell.co.uk, 01943 604270,: http://www.readdunnconnell.co.uk,513130
REED SMITH LLP,HO,The Broadgate TowerEC2A 2RS,020 3116 3000,,,,reedsmith@reedsmith.com, 020 3116 3999,: http://www.reedsmith.com,389662
REYNOLDS COLMAN BRADLEY LLP,HO,70 St. Mary AxeEC3A 8BE,020 3102 4320,,,,operations@sra.org.uk, 020 3102 4321,: http://www.rcbllp.com,387428
REYNOLDS PORTER CHAMBERLAIN LLP,HO,Tower Bridge HouseE1W 1AA,020 3060 6000,,,,rpc@rpc.co.uk, 020 3060 7000,: http://www.rpc.co.uk,440566
RICHARDSON & CO,HO,Phoenix HouseLS1 5QX,0113 243 1714,,,,mail@richardsonlaw.co.uk, 0113 243 0984,: http://www.richardsonlaw.co.uk,472094
RLS LEEDS LIMITED,HO,Fourth FloorLS1 3BR,0113 283 2100,,,,hswm@brookenorth.co.uk, 0113 283 3999,: http://www.brookenorth.co.uk,524651
RM LEGAL SOLICITORS,HO,1 st Floor 17 Carlton PlaceSO15 2DY,023 8092 6060,,,,info@rm-legal.co.uk, 023 8092 6061,: http://www.rm-legal.co.uk,441401
ROBIN SIMON LLP,HO,2 St. Davids CourtLS11 5QA,0870 839 0800,,,,operations@sra.org.uk, 0870 839 0900,: http://www.robinsimonllp.com,383086
ROBIN SIMON LLP,BRN,Minster HouseEC3R 7AE,0870 839 0800,,,,operations@sra.org.uk, 0870 839 0900,: http://www.robinsimonllp.com,383089
ROBIN SIMON LLP,BRN,1st FloorM1 3FH,0870 839 0800,,,,operations@sra.org.uk, 0870 879 0900,: http://www.robinsonllp.com,383090
ROBIN SIMON LLP,BRN,37a Waterloo StreetB2 5TJ,0870 839 0950,,,,operations@sra.org.uk, 0870 839 0957,: http://www.robinsimonllp.com,404162
ROCHMAN LANDAU LLP,HO,Accurist HouseW1U 7AL,0207 544 2424,,,,mail@rochmanlandau.co.uk, 0207 544 2400,: http://www.rochmanlandau.co.uk,496280
ROCHMAN LANDAU SECRETARIAL LIMITED,HO,Accurist HouseW1U 7AL,020 7544 2424,,,,mail@rochmanlandau.co.uk, 020 7544 2400,: http://www.rochmanlandau.co.uk,78553
ROGERS & CO SOLICITORS,HO,Basinghall BuildingsLS1 5HR,0113 2469984,,,,enquiries@lawrogers.com, 0113 2451587,: http://www.lawrogers.com,495283
ROLLITS,HO,Wilberforce CourtHU1 1YJ,01482 323239,,,,info@rollits.com, 01482 326239,: http://www.rollits.com,54472
ROLLITS,BRN,Rowntree WharfYO1 9WE,01904 625790,,,,john.lane@rollits.com, 01904 625807,: http://www.rollits.com,54474
ROLLITS NOMINEES LIMITED,HO,Wilberforce CourtHU1 1YJ,01482 323 239,,,,info@rollits.com, 01482 326 239,: http://www.rollits.com,222789
ROSHANIAN PAYMAN INTERNATIONAL SOLICITORS,HO,55 Park LaneW1K 1NA,+44 (0)20 7499 2712,,,,rpi@rpi-intl.com, +44 (0) 20 7629-1774,: http://www.rpi-intl.com,404936
ROSLING KING LLP,HO,10 Old BaileyEC4M 7NG,020 7246 8000,,,,operations@sra.org.uk, 020 7246 8100,: http://www.rkllp.co.uk,488026
ROYDS LLP,HO,65 Carter LaneEC4V 5HF,020 7583 2222,,,,info@royds.com, 020 7583 2034,: http://www.royds.com,469004
ROYDS LLP,BRN,18 Crown LaneSM4 5BS,020 8542 1067,,,,operations@sra.org.uk, 020 8544 0246,: http://www.royds.com,469010
ROYTHORNES LLP,HO,Enterprise WayPE11 3YR,01775 842500,,,,roythorne@roythorne.co.uk, 01775 725736,: http://www.roythorne.co.uk,508090
ROYTHORNES LLP,BRN,The MaltingsCB25 0HB,01638 744620,,,,operations@sra.org.uk, 01638 744621,: http://www.roythornes.co.uk,508092
ROYTHORNES LLP,BRN,8-12 The RopewalkNG1 5DT,0115 948 4555,,,,operations@sra.org.uk, 0115 945 4416,: http://www.roythornes.co.uk,508093
ROYTHORNES LLP,BRN,Dean's CourtPE1 1XS,01733 346 868,,,,operations@sra.org.uk, 01733 346 868,: http://www.roythornes.co.uk,508094
RUSSELL - COOKE LLP,HO,2 Putney HillSW15 6AB,0208 789 9111,,,,helpdesk@russell-cooke.co.uk, 020 8780 1194,: http://www.russell-cooke.co.uk,465322
RUSSELL - COOKE LLP,BRN,Bishops Palace HouseKT1 1QN,020 8546 6111,,,,operations@sra.org.uk, 020 8541 4404,: http://www.russell-cooke.co.uk,465340
RUSSELL - COOKE LLP,BRN,8 Bedford RowWC1R 4BX,020 7405 6566,,,,operations@sra.org.uk, 020 7831 2565,: http://www.russell-cooke.co.uk,465350
SALANS LLP,HO,Millennium Bridge HouseEC4V 4AJ,020 7429 6000,,,,london@salans.com, 020 7429 6001,: http://www.salans.com,428018
SALANS LLP,BRN,North TowerBR1 1LR,020 8460 2237,,,,operations@sra.org.uk, 020 8466 9374,: http://www.salans.com,498315
SALANS LLP,BRN,Keystone Innovation CentreIP24 1JD,01842 851 400,,,,thetford@salans.com,,: http://www.salans.com,498322
SAS DANIELS LLP,HO,30 Greek StreetSK3 8AD,0161 475 7676,,,,help@sasdaniels.co.uk, 0161 475 7677,: http://www.sasdaniels.co.uk,486870
SAS DANIELS LLP,BRN,County ChambersSK11 6BA,01625 442 100,,,,help@sasdaniels.co.uk, 01625 615 630,: http://www.sasdaniels.co.uk,486888
SAS DANIELS LLP,BRN,8-10 West StreetCW12 1JS,01260 282 300,,,,help@sasdaniels.co.uk, 01260 274243,: http://www.sasdaniels.co.uk,486903
SAS DANIELS LLP,BRN,4a Woodford RoadSK7 1JJ,0161 475 7680,,,,help@sasdaniels.co.uk, 0161 440 8083,: http://www.sasdaniels.co.uk,486905
SAS DANIELS LLP,BRN,35 White FriarsCH1 1QF,01244 305 900,,,,help@sasdaniels.co.uk, 01244 400950,: http://www.sasdaniels.co.uk,486906
SCHOFIELD SWEENEY LLP,HO,Church Bank HouseBD1 4DY,01274 306 000,,,,law@schoeys.com, 01274 306 111,: http://www.schofieldsweeney.co.uk,371175
SEMPLE FRASER LLP,BRN,14th FloorM2 3AW,0161 638 8770,,,,operations@sra.org.uk, 0161 638 8771,,520520
SHAKESPEARE PUTSMAN LLP,HO,Somerset HouseB2 5DJ,0121 237 3000,,,,info@sp-legal.co.uk, 0121 237 3011,: http://www.sp-legal.co.uk,442480
SHARPE PRITCHARD,HO,Elizabeth HouseWC1V 6HG,020 7405 4600,,,,bmaclean@sharpepritchard.co.uk, 020 7831 1284,: http://www.sharpepritchard.co.uk,55064
SHARPLES & CO,HO,62 Gloucester RoadBS7 8BH,0117 942 8214,,,,enquiries@sharples-solicitors.com, 0117 942 0498,: http://www.sharples-solicitors.com,55068
SHEARMAN & STERLING (LONDON) LLP,HO,9 Appold StreetEC2A 2AP,020 7655 5000,,,,operations@sra.org.uk, 020 7655 5500,: http://www.shearman.com,211340
SHEPHERD AND WEDDERBURN LLP,BRN,Condor HouseEC4M 8AL,020 7429 4900,,,,guy.harvey@shepwedd.co.uk, 020 7329 5939,: http://www.shepwedd.co.uk,447897
SHERIDAN GOLD LLP,HO,Castle CourtRH2 9RJ,,,,,operations@sra.org.uk,,,523606
